route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
21-U1-j22-24,UZ,11527.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11531.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11532.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11534.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11535.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11538.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11539.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11541.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11542.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11546.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11547.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11549.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11550.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11553.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11554.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11557.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11559.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11563.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11564.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11566.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11567.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11570.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11571.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11573.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11574.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11577.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11578.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11580.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11582.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11584.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11587.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11590.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11591.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11595.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11596.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11598.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11600.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11602.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11603.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11605.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11607.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11610.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11611.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11613.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11615.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11617.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11620.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11621.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11623.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11624.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11626.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11630.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11631.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11632.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11634.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11637.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11638.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11639.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11643.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11644.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11645.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11646.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11647.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11649.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11655.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11656.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11657.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11658.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11659.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11660.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
